Date,AAPL US Equity,ADBE US Equity,AEE US Equity,AEP US Equity,AFL US Equity,AIG US Equity,AIZ US Equity,ALL US Equity,AMAT US Equity,AMT US Equity,AON US Equity,APC US Equity,AVB US Equity,AVGO US Equity,AWK US Equity,AXP US Equity,BAC US Equity,BBT US Equity,BHF US Equity,BHGE US Equity,BK US Equity,BLK US Equity,BRK/A US Equity,C US Equity,CB US Equity,CCI US Equity,CME US Equity,CNP US Equity,COF US Equity,COP US Equity,CRM US Equity,CSCO US Equity,CTSH US Equity,CVX US Equity,D US Equity,DLR US Equity,DUK US Equity,ED US Equity,EOG US Equity,EQIX US Equity,EXC US Equity,FB US Equity,FTI US Equity,GOOGL US Equity,GS US Equity,HAL US Equity,HP US Equity,IBM US Equity,INTC US Equity,INTU US Equity,JPM US Equity,KEY US Equity,KMI US Equity,LNC US Equity,MA US Equity,MET US Equity,MMC US Equity,MPC US Equity,MS US Equity,MSFT US Equity,MTB US Equity,NEE US Equity,NI US Equity,NOV US Equity,NVDA US Equity,OKE US Equity,ORCL US Equity,OXY US Equity,PCG US Equity,PEG US Equity,PFG US Equity,PGR US Equity,PLD US Equity,PNC US Equity,PPL US Equity,PRU US Equity,PSA US Equity,PSX US Equity,PXD US Equity,QCOM US Equity,SCHW US Equity,SLB US Equity,SO US Equity,SPG US Equity,SRE US Equity,STI US Equity,TMK US Equity,TRV US Equity,TXN US Equity,UNM US Equity,USB US Equity,V US Equity,VLO US Equity,WEC US Equity,WFC US Equity,WLTW US Equity,WMB US Equity,WY US Equity,XEL US Equity,XOM US Equity
2016-01-15,97.13,89.17,43.51,58.69,56.61,56.09,78.27,58.13,16.08,88.39,86.09,32.02,175.7,119.97,60.48,63.1932,14.46,33.14,66.25,39.89,35.78,296.58,190000,42.47,109.38,79.12,84.71,17.3,62.85,39.36,70.86,23.8078,58.71,83.67,68.88,76.32,72.08,67.68,63.1344,303.19,27.46,94.97,24.33,710.49,155.61,30.85,45.15,130.03,29.76,91.781,57.4345,11.51,13,40.6428,88.891,38.3901,52.21,41.42,25.97,50.99,104.49,105.26,19.74,29.95,27.11,21.94,34.2632,62.7646,52.47,39.6,37.91,29.91,38.81,86.8368,33.29,70.17,248.55,78.47,113.14,45.82,27.02,63.01,47.17,184.17,91.99,37.44,53.0769,105.1,48.03,28.42,39.05,71.83,66.41,52.75,48.82,112.53,16.1,25.82,36.5,77.58
2016-01-19,96.66,89.18,43.45,59.57,56.49,56.16,78.52,58.44,16.45,90.91,85.98,30.85,178.35,120.07,61.01,62.922,14.24,32.92,64.89,39.79,35.93,294,191700,41.94,110.87,79.5,86.11,17.5,62.19,36.4,70.8,24.0396,59.94,81.51,69.9,75.1,73.16,69.07,61.1392,295.11,27.64,95.26,23.88,719.08,156.82,29.79,43.15,128.11,29.8,91.169,57.4043,11.33,12.55,39.9088,86.395,38.0871,52.15,41.2,26.26,50.56,106.35,107.81,20.04,29.53,27.33,20.79,34.695,61.4351,52.98,39.83,37.53,29.8,39.04,85.831,33.63,69.29,250.44,78.67,111.62,46.09,26.51,62.82,47.94,186.4,92.5,37.12,52.9967,105.76,48.22,28.17,39.13,71.39,66.54,54.19,48.21,110.38,15.78,25.47,37.21,76.4
2016-01-20,96.79,87.94,42.33,57.92,55.55,55.05,76.64,57.99,16.37,89,84.94,30.54,171.52,123.83,60.62,63.3137,13.69,32.86,64,38.88,35.47,292,188470,40.49,110.69,78.22,84.2,16.9,60.76,34.75,70.33,23.0821,59.25,78.98,68.73,72.64,71.42,68.25,60.3972,294.36,26.78,94.35,23.58,718.56,153.75,28.48,42.85,121.86,29.59,92.282,55.8939,11.2,12.01,38.4105,85.303,37.6148,51.54,40.5,25.24,50.79,104.73,105.31,19.46,29.72,27.48,20.04,34.0824,59.5959,51.29,38.97,36.47,29.68,37.41,84.6641,32.8,67.36,240.29,76.93,109.04,45.93,25.27,61.06,47.16,180.64,90.05,36.55,51.7838,103.65,49.01,27.4,38.87,70.68,65.48,52.94,47.87,109.3,15.49,24.6,36.62,73.18
2016-01-21,96.3,88,42.13,57.64,55.82,55.31,77.2,58.15,16.81,90.02,84.62,33.55,171.3,124.53,60.25,62.922,13.36,31.78,64.57,40.73,34.31,289.9,189455,40.15,109.43,79.13,81.99,17.43,61.18,36.91,69.51,23.0821,59.06,81.05,68.49,72.5,71.09,67.69,63.9164,289.78,27.42,94.16,23.78,726.67,151.65,29.29,45.28,122.91,29.66,92.242,55.6321,11.17,13.88,38.7826,86.295,38.0515,51.6,39.61,24.78,50.48,102.24,105.04,19.53,30.67,27.8,22.62,34.2632,60.8254,51.48,39.09,36.84,29.55,37.73,84.6239,33.23,68.13,241.06,76.04,111.8,47.05,24.38,61.45,46.81,182.7,91.04,36.06,51.9242,102.7,49.83,27.73,38.52,71.56,63.43,52.47,48.01,110,16.04,25,36.13,74.1
2016-01-22,101.42,89.63,42.95,58.53,57.27,56.35,79.47,58.53,17.05,93.25,86.41,35.48,174.33,124.51,62.44,55.3079,13.56,31.95,61.72,42.04,35.15,300.56,191395.98,41.06,110.04,81.62,84.77,17.78,61.1,37.67,71.55,23.5558,60.51,83.54,69.76,74.76,72.18,67.97,66.1923,297.05,28.03,97.94,24.31,745.46,156.86,30.19,47.03,122.5,29.925,93.907,57.3439,11.32,15.34,39.8082,88.179,39.3793,52.606,42.83,25.61,52.29,104.58,106.6,20.28,31.23,28.45,25.1,34.946,63.7742,52.36,39.87,38.06,29.95,38.59,86.2434,34.01,69.87,247.73,80.03,113.5,48.07,25.83,65.2,47.35,187.32,93.61,35.27,53.2273,103.14,50.3,28.02,39.37,72.7,67.86,53.62,49.02,111.95,19.74,25.42,36.63,76.57
2016-01-25,99.44,86.77,42.67,57.75,56.55,55.36,78.11,57.7,16.91,91.12,85.74,32.31,174.27,124.49,61.44,55.2677,12.96,31.11,56.9,39.18,34.67,289.72,187001,39.55,108,81.19,84.64,17.1,58.66,34.2,69.92,23.3542,60.92,80.89,69.56,75.72,71.8,67.81,61.7508,299.93,27.16,97.01,23.38,733.62,151.12,29.28,43.93,122.08,29.6,92.021,56.0449,10.85,14.19,38.7424,86.947,38.3188,51.8817,40.77,24.98,51.79,101.79,106.42,20.38,29.69,28.42,23.62,34.4841,61.765,51.61,38.98,37.23,29.5,38.22,83.2157,33.76,67.88,247.51,76.23,107.75,47.58,25.17,63.3,47.39,185.15,92.07,34.12,52.3452,102.08,50.08,27.37,38.29,71.74,65.14,53.21,47.66,110.12,18.31,24.51,36.53,73.98
2016-01-26,99.99,86.89,42.76,58.2,57.52,55.91,79.21,58.18,17.35,92.47,86.03,34.59,178,124.39,62.35,55.338,13.31,31.47,56.72,39.97,35.56,299.26,189640,40.5,108.58,83.61,86.37,17.37,60.38,35.35,69.87,23.9086,61.94,84.12,69.72,78.53,72.22,67.99,66.2024,303.64,27.84,97.34,23.93,733.79,154.45,28.94,45.84,122.59,29.94,92.934,57.4748,10.94,14.97,39.3457,87.177,38.7733,52.2439,41.56,25.49,52.17,105.68,106.56,20.31,30.43,28.7,24.3,35.3778,63.2044,52.14,39.38,37.94,29.49,39.85,84.9458,33.83,69.11,253.47,77.76,113.54,48.52,25.45,65.33,47.58,190.14,92.22,35.02,53.0268,103.25,50.7,27.81,39.02,71.88,67.71,53.86,48.26,111,20.42,24.75,36.77,76.7
2016-01-27,93.42,84.85,43.2,58.19,57.45,54.54,78.95,58.41,17.09,92.51,85.91,35.53,175.59,122.35,62.44,54.7654,13.36,31.65,58.5,40.83,35.43,302.12,189091,40.56,108.1,83.19,86.72,17.31,63.3,36.21,67.43,23.6163,61.01,83.29,69.71,77.04,72.41,68.33,66.2425,299.57,28.05,94.45,23.92,717.58,153.72,29.06,46.07,120.96,29.81,91.058,57.4345,10.92,14.22,39.0943,84.983,38.5505,51.932,39.86,25.52,51.22,107.55,106.73,20.14,31.1,28.36,23.13,35.0565,64.1341,52.73,39.6,37.6,30.38,39.47,85.5493,33.84,68.51,248.18,77.73,113.9,47.53,25.25,65.55,47.64,186.04,91.33,35.3,52.6359,103.31,50.67,27.935,39.18,70.91,65.99,53.58,48.57,110.71,19.27,24.52,36.68,75.29
2016-01-28,94.09,84.52,43.85,59.45,58.31,54.71,79.45,59.22,16.68,92.51,86.39,37.25,170.74,126.37,63.45,53.1181,13.53,31.91,57.97,43.12,35.37,299.17,188300,40.44,109.52,84.81,87.09,17.54,62.99,38.02,65.69,23.2887,61.34,85.92,70.94,79.47,73.47,69.15,68.8091,300.22,28.71,109.11,24.32,748.3,157.06,30.45,49.48,122.22,29.97,92.317,57.6762,11.08,15.415,38.7826,83.6,39.0139,52.1131,40.22,25.3188,52.055,108.2,108.3,20.75,31.06,28.05,24.525,35.4782,65.8434,53.76,40.37,37.46,30.72,38.88,85.4085,34.32,68.84,249.06,78.7,120.01,43.59,24.82,69.51,48.28,186.79,92.83,36.32,53.1371,104.47,51.51,28.4987,39.22,69.33,64.54,54.7,48.92,112.58,19.29,24.42,37.57,76.99
2016-01-29,97.34,89.13,44.92,60.97,57.96,56.48,81.31,60.6,17.65,94.34,88.136,39.09,171.49,133.71,64.91,53.7408,14.14,32.66,57.36,43.51,36.39,314.26,194360.05,42.6327,113.07,86.2,89.85,17.87,65.62,39.08,68.06,23.9792,63.31,86.47,72.17,80.08,75.3,69.39,71.2054,310.57,29.57,112.21,25.15,761.35,161.56,31.79,50.8,124.79,31.02,95.813,59.9115,11.16,16.5845,39.6775,89.211,39.7892,53.6523,41.79,26.033,55.09,110.18,111.71,21.01,32.54,29.29,25.5507,36.4623,68.8022,54.91,41.3,38,31.25,39.47,87.1587,35.06,70.08,253.56,80.15,123.95,45.34,25.53,72.27,48.92,186.28,94.75,36.58,54.4703,107.04,53.3234,28.8309,40.06,74.49,67.87,55.23,50.23,114.47,19.3,25.61,38.22,77.85
2016-02-01,96.43,89.61,45.66,61.79,56.51,56.29,80.98,60.53,17.65,93.1,87.885,38.25,171.97,137.68,65.03,54.9462,13.96,32.29,58.01,43.29,35.6666,312.25,194759,42.5326,113.28,86.82,89.44,18.62,65.01,38.6,68.44,23.6667,62.33,85.29,70.18,79.62,77,70.42,69.2703,311.44,30,115.09,24.78,770.77,159.65,31.62,49.93,124.83,30.82,96.676,59.2671,11.08,15.3142,39.4462,88.81,39.4595,53.592,41.77,25.862,54.71,108.16,112.98,21.3,31.99,29.3,24.0429,36.4724,66.5331,55.46,41.38,37.95,31.3682,39.47,86.5954,35.92,69.57,254.08,79.48,122.29,46.11,25.28,71.46,49.9,187.93,95.67,36.11,54.4602,107.01,53.2226,28.6799,39.8,74.38,68.7,56.09,49.94,114.5,19.51,26.09,38.56,76.29
2016-02-02,94.48,87.95,46.38,62,57.28,55.33,79.33,59.97,17.05,91.35,86.5,39.26,168.42,133.24,65.36,53.9016,13.23,31.58,57.5,42,34.4509,301.21,189902,40.47,112.47,86.21,89.11,18.42,63.21,36.59,64.52,23.0115,60.115,81.24,69.89,79.6,76.75,71.12,67.3353,312.59,30.14,114.61,23.63,780.91,151.7,30.52,46.63,122.94,29.8,94.449,57.4244,10.76,14.7698,37.7167,86.105,38.1049,52.6664,40.27,24.6449,53,105.56,113.91,21.26,30.67,28.06,23.7147,35.4983,65.4535,56.67,41.45,35.07,31.3785,39.27,84.292,36.37,67.23,255.22,78.5,121.52,43.15,24.11,68.84,49.63,186.11,95.52,34.37,52.8865,106.03,51.0164,27.6229,38.75,73.4,65.28,56.13,48.83,110.56,18.69,25.33,38.98,74.59
2016-02-03,96.35,87.99,47.33,63.31,57.32,54.31,79.45,59.64,17.29,90.49,88.046,42.49,169.09,131.36,65.88,54.3536,13.03,31.78,55.97,44.41,34.5012,304.06,189861,40.41,112.83,86.77,89.4,19.05,63.15,38.63,65.34,23.2837,60.76,84.62,69.93,80.83,78.56,71.67,70.3732,309.54,31.61,112.69,24.07,749.38,152.68,31.96,49.37,124.72,29.6,96.195,57.8071,10.78,15.7376,37.7167,86.646,37.7173,53.1594,37.2,24.4638,52.16,106.17,114.75,21.48,28,28.2,25.2738,35.8397,68.1024,57.46,42.15,35.54,31.3065,39.52,84.3423,36.69,66.79,253.11,79.1,127.32,44.73,24.38,70.83,48.51,188.3,95.64,34.46,52.3652,106.89,50.6235,27.0391,39.28,74.38,60.94,56.65,47.975,114.05,18.41,25.46,39.25,78.48
2016-02-04,97.12,86.36,46.53,62.29,58.02,54.02,78.64,62.05,17.58,91.09,89.26,41.36,171.12,136.12,64.27,54.6248,13.25,32.16,57.45,44.24,35.114,313.7,192200,40.8405,113.22,86.22,86.33,18.95,63.73,35.32,67.2,23.7272,59.62,84.79,70.43,81.35,78.58,71.53,68.6186,308.45,32.25,110.49,24.28,730.03,156.49,32.43,51.32,127.65,30.0338,97.057,58.8039,10.91,15.788,36.1079,86.506,35.7393,54.4974,34.94,25.1579,52,108.19,113.52,21.315,28.58,28.21,26.1456,36.6029,66.9529,56.33,42.42,36.34,31.5534,39.58,85.3884,36.66,66.98,246.22,79.88,124.49,45.66,24.97,70.54,48.42,187.58,95.31,34.87,52.5056,107.49,51.641,27.8142,40.11,73.68,61.79,56.4,48.6301,115.71,18.75,25.74,39.07,79.83
2016-02-05,94.5261,79.2,46.49,62.84,58.21,53.37,78.48,63.37,16.81,88.84,93.194,40.77,166.27,128.36,64.0589,54.223,12.95,32.06,56.86,44.85,34.6217,307.75,190820,39.9093,112.25,84.06,88.55,18.85,63.36,32.9,58.51,23.072,58.54,82.88,71.06,81.76,79.04,72.04,67.235,288.44,32.9,104.07,23.81,703.76,156.47,31.35,50.28,128.57,29.2973,92.082,58.1494,10.8,15.788,35.9772,82.928,34.8941,54.9803,32.3,24.494,50.16,107.8,113.61,21.1337,28.47,26.43,26.1969,35.8498,65.4435,56.24,42.91,36.81,31.5946,39.24,84.0606,36.16,65.35,237.13,78.33,118.8,44.02,24.36,68.81,48.22,183.98,95.06,34.32,52.9466,106.29,50.2507,27.8645,40.09,71.54,57.72,57.05,48.237,114.02,17.12,23.99,39.53,80.08
2016-02-08,95.5214,74.94,46.17,63.05,58,52.3,76.23,63.33,16.19,85.41,93.304,40.05,163.55,121.86,64.6319,52.6359,12.27,31.33,57.21,42.82,33.4563,293.46,191255.05,37.8568,108.89,81.7,90.19,18.43,60.89,34.43,54.05,23.1123,54.05,85.99,69.49,78.49,79.17,73.08,68.6086,268.84,32.36,99.75,23.62,704.16,149.25,30.83,49.64,128.28,29.0754,91.209,56.931,10.55,15.042,33.5841,80.814,33.4016,55.3324,30.73,22.804,49.41,105.9,114.17,21.0632,28.4,25.22,23.7557,35.7594,66.1632,56.3,41.99,35.78,31.6255,37.65,82.2501,35.99,63.33,228.98,76.28,115.19,43.89,23.61,69.78,48.82,182.48,95.1,32.6,51.3628,105.6,51.2783,26.4149,39.53,67.77,55.3958,57.46,46.8663,111.16,11.16,23.4,39.25,81.16
2016-02-09,95.5013,73.85,46.08,62.9289,57.93,52.25,76.49,63.01,16.1,85.57,93.204,37.24,161.11,119.71,66.0695,52.8669,12.2,31.6,56.65,41.75,33.7577,294.53,192635,37.5564,110.58,82.2,93.31,18.55,62.42,33.58,57.33,22.8301,52.33,82.92,70.43,77.15,78.93,73.61,65.7612,265.05,31.94,99.54,22.98,701.02,148.25,29.59,48.02,125.3402,29.0653,90.416,56.5887,10.64,14.7294,33.9863,82.137,33.4106,55.6141,31.4,23.0656,49.28,107.52,115.35,21.3956,27.56,25.49,21.1606,35.2272,65.1936,55.92,42.38,35.98,31.7799,37.4,82.6826,36.13,63.59,232.92,75.44,111.29,43.61,23.34,67.8,49.2,178.93,95.9,33.16,51.2325,105.92,51.0567,26.3445,39.4,68.33,55.3958,57.39,46.8159,110.65,11.98,23.08,39.62,80.81
2016-02-10,94.7775,75.53,46.2,63.4637,57.49,52.45,66.23,62.98,15.99,85.84,93.153,37.39,164.53,119.2,67.0346,52.5254,11.98,31.54,55.32,41.51,33.7175,298.56,190520,37.4563,111.69,81.83,90.53,18.51,62.24,32.34,58.76,22.689,53.32,83.04,70.29,77.93,78.945,73.39,65.9617,273.34,31.43,101,23.16,706.85,147.23,29.59,46.9475,121.4205,28.4802,90.547,55.904,10.52,14.7194,34.4689,83.48,33.1499,55.8455,31.67,22.8342,49.71,105.47,113.74,21.6373,26.69,25.43,21.4478,35.3477,65.6334,56.17,42.64,36.01,31.8107,37.3,81.9885,36.27,64.06,235.87,75.29,108.79,42.96,22.76,67.73,49.21,182.81,97.11,32.84,51.1724,105.72,51.1272,26.0022,39.04,70.15,55.4565,56.935,46.5337,107.52,12.85,22.68,39.35,80.0733
2016-02-11,94.2044,74.94,45.37,61.8594,56.01,50.52,66.91,62.32,15.64,83.66,93.013,35.68,161.56,116.31,66.4314,51.3401,11.16,30.5415,55.54,39.78,32.8937,294.21,190000,35.0233,110.84,81.51,89.32,17.9075,60.55,32.13,59.24,24.8762,52.11,82.99,69.21,77.08,77.6111,72.15,65.7311,275.05,30.6119,101.91,22.77,706.36,140.69,28.8,46.4299,119.0565,28.4701,91.7,53.437,10,14.0741,30.9496,82.277,31.6573,55.2821,30.83,21.8182,49.69,100.78,111.9,21.2546,26.34,25.3,20.1247,34.9862,66.1732,55.16,41.89,34.34,31.1109,35.57,78.6289,35.9,58,234.83,73.46,110.75,43,22.2787,68.83,48.5925,183.092,94.45,31.36,48.6964,103.77,50.7544,24.2305,37.45,68.47,56.1537,56.2289,45.5158,107.13,13.29,22.22,38.99,80.3256
